State.Abbreviation,nursinghm.closed.days,nursinghm.flag,rest.closed.days.x1,rest.closed.days.x2,rest.closed.days.x3,rest.duration.days,rest.flag,daycare.closed.days,daycare.flag,movies.closed.days.x1,movies.closed.days.x2,movies.duration.days,movies.flag,gym.closed.days.x1,gym.closed.days.x2,gyms.duration.days,gyms.flag,emr.closed.days,emr.flag,facemsk.duration.days,facemsk.mandate.flag,facemsk.enforced.flag,stayhm.duration.days,stayhm.flag,relgn.gathering.banned.flag,state,state.fips.code,population.density.per.square.mile,population.2018,square.miles,number.homeless..2019.,percent.unemployed..2018.,percent.living.under.the.federal.poverty.line..2018.,percent.at.risk.for.serious.illness.due.to.covid,all.cause.deaths.2018,mental.health.professionals.per.100.000.population.in.2019,were.there.casino.s..in.state...land.and.non.land.based.,state.has.at.least.one.american.indian.alaskan.native.reservation,Legislature.Control,State.Control,most_recent_population,date,fips,cases,deaths,infections.per.capita
MD,180.5,1,74,0,0,74,1,81,1,169,0,169,1,95,0,95,1,377.5,1,332.5,1,1,46,1,1,Maryland,24,487.08,6042718,12406,6561,4.9,9,37.1,50568,257.4,1,0,Dem,Divided,6065440,2021-04-05,24,418374,8363,0.06897669418871508
MA,200.5,1,83,0,0,83,1,77,1,111,0,111,1,111,0,111,1,372.5,1,314.5,1,1,55,1,1,Massachusetts,25,653.98,6902149,10554,18471,4.8,10,34.6,59152,626.6,1,1,Dem,Divided,6912240,2021-04-05,25,646220,17325,0.09348923069800817
MI,202.5,1,84,0,0,84,1,76,1,207,0,207,1,177,0,177,1,372.5,1,323.5,1,1,69,1,0,Michigan,26,103.36,9995915,96714,8575,5.3,14.1,41.2,98903,265.4,1,1,Rep,Divided,9992430,2021-04-05,26,779658,17274,0.07802486482267076
MN,0,0,76,103.5,0,179.5,1,0,0,85,103.5,188.5,1,85,103.5,188.5,1,369.5,1,235.5,1,1,51,1,1,Minnesota,27,64.54,5611179,86936,7977,3.4,9.6,33.9,44745,250.7,1,1,Divided,Divided,5706400,2021-04-05,27,527728,6963,0.09248002243095471
MS,192.5,1,34,0,0,34,1,0,0,59,0,59,1,38,0,38,1,368.5,1,56,1,0,24,1,1,Mississippi,28,61.66,2986530,48432,1184,7.1,19.7,42.5,32301,159,1,1,Rep,Rep,2966410,2021-04-05,28,306158,7055,0.10320825509622743
MO,193.5,1,42,0,0,42,1,0,0,335.5,0,335.5,1,31,0,31,1,369.5,1,0,0,1,28,1,0,Missouri,29,87.89,6126452,69707,6179,4.2,13.2,40.5,63117,193.7,1,0,Rep,Rep,6169040,2021-04-05,29,588005,8990,0.09531547858337765
MT,201.5,1,45,0,0,45,1,0,0,56,0,56,1,56,0,56,1,370.5,1,0,0,1,29,1,1,Montana,30,7.22,1062305,147040,1357,3.5,13,39,9992,295.3,1,1,Rep,Divided,1085000,2021-04-05,30,105273,1466,0.0970258064516129
NE,0,0,59,0,0,59,1,0,0,74,0,74,1,335.5,0,335.5,1,369.5,1,0,0,1,0,0,1,Nebraska,31,24.94,1929268,77348,2365,3.5,11,36.6,16904,254.7,1,1,N/A,N/A,1952000,2021-04-05,31,212237,2289,0.10872797131147541
NV,0,0,49,0,0,49,1,0,0,69,0,69,1,69,0,69,1,370.5,1,263.5,1,1,39,1,1,Nevada,32,27.44,3034392,110572,7169,5.6,12.9,36.1,24715,211.6,1,1,Dem,Dem,3185790,2021-04-05,32,305374,5275,0.09585503124813625
NH,200.5,1,63,0,0,63,1,0,0,93,0,93,1,65,0,65,1,369.5,1,116.5,1,1,80,1,1,New Hampshire,33,145.09,1356458,9349,1396,3.6,7.6,40.5,12774,307.3,1,0,Dem,Divided,1372200,2021-04-05,33,86125,1249,0.06276417431861245
